Date,Resort,Snow (24hr),Base Depth,Trails Open,Total Trails,Lifts Open,Base Depth Notes,% Trails Open
2025-02-09,Arapahoe Basin Ski Area,"2""","52""",133,145,8/9,Variable Conditions,91.72
2025-02-09,Aspen Snowmass,"9""","53""",349,366,34/41,Powder,95.36
2025-02-09,Beaver Creek,"2""","44""",168,173,18/24,Machine Groomed,97.11
2025-02-09,Breckenridge,"7""","53""",188,188,35/35,Powder,100.0
2025-02-09,Cooper,"3""","40""",64,64,5/5,Powder,100.0
2025-02-09,Copper Mountain,"6""","58""",148,150,24/24,Powder,98.67
2025-02-09,Crested Butte Mountain Resort,"0""","45""",120,165,15/15,Machine Groomed,72.73
2025-02-09,Echo Mountain,"0""","30""",7,7,3/3,Variable Conditions,100.0
2025-02-09,Eldora Mountain Resort,"6""","30""",60,61,10/10,Powder,98.36
2025-02-09,Howelsen Hill,"0""","34""",12,17,3/4,Machine Groomed,70.59
2025-02-09,Keystone,"3""","43""",140,140,21/21,Powder,100.0
2025-02-09,Loveland Ski Area,"4""","46""",93,94,10/10,Powder,98.94
2025-02-09,Monarch Mountain,"0""","41""",66,67,7/7,Packed Powder,98.51
2025-02-09,Powderhorn,"0""","35""",49,54,5/5,Machine Groomed,90.74
2025-02-09,Purgatory,"0""","35""",94,107,10/11,Packed Powder,87.85
2025-02-09,Silverton Mountain,"0""","57""",69,69,1/1,Powder,100.0
2025-02-09,Ski Granby Ranch,"1""","72""",42,42,5/5,Machine Groomed,100.0
2025-02-09,Steamboat,"5""","84""",184,184,23/23,Powder,100.0
2025-02-09,Sunlight Mountain Resort,"2""","28""",45,75,3/3,Variable Conditions,60.0
2025-02-09,Telluride,"0""","37""",129,147,17/17,Packed Powder,87.76
2025-02-09,Vail,"4""","54""",274,278,30/33,Powder,98.56
2025-02-09,Winter Park,"13""","65""",160,171,23/25,Packed Powder,93.57
2025-02-09,Wolf Creek Ski Area,"0""","45""",144,144,10/11,Machine Groomed,100.0
2025-02-10,Arapahoe Basin Ski Area,"0""","49""",136,145,8/9,Variable Conditions,93.79
2025-02-10,Aspen Snowmass,"0""","52""",351,366,34/41,Powder,95.9
2025-02-10,Beaver Creek,"0""","43""",168,173,18/24,Machine Groomed,97.11
2025-02-10,Breckenridge,"7""","53""",188,188,35/35,Powder,100.0
2025-02-10,Cooper,"0""","40""",64,64,5/5,Packed Powder,100.0
2025-02-10,Copper Mountain,"0""","58""",148,150,24/24,Powder,98.67
2025-02-10,Crested Butte Mountain Resort,"0""","44""",120,165,15/15,Machine Groomed,72.73
2025-02-10,Echo Mountain,"0""","30""",5,7,3/3,Variable Conditions,71.43
2025-02-10,Eldora Mountain Resort,"0""","30""",60,61,10/10,Powder,98.36
2025-02-10,Howelsen Hill,"0""","34""",12,17,3/4,Machine Groomed,70.59
2025-02-10,Keystone,"0""","42""",140,140,21/21,Powder,100.0
2025-02-10,Loveland Ski Area,"0""","46""",93,94,10/10,Powder,98.94
2025-02-10,Monarch Mountain,"0""","41""",66,67,5/7,Packed Powder,98.51
2025-02-10,Powderhorn,"0""","35""",49,54,5/5,Machine Groomed,90.74
2025-02-10,Purgatory,"0""","35""",94,107,10/11,Packed Powder,87.85
2025-02-10,Silverton Mountain,"0""","57""",69,69,1/1,Powder,100.0
2025-02-10,Ski Granby Ranch,"0""","72""",42,42,5/5,Machine Groomed,100.0
2025-02-10,Steamboat,"0""","82""",184,184,23/23,Packed Powder,100.0
2025-02-10,Sunlight Mountain Resort,"0""","28""",45,75,3/3,Variable Conditions,60.0
2025-02-10,Telluride,"0""","37""",129,147,17/17,Packed Powder,87.76
2025-02-10,Vail,"0""","54""",274,278,30/33,Machine Groomed,98.56
2025-02-10,Winter Park,"0""","65""",160,171,23/25,Packed Powder,93.57
2025-02-10,Wolf Creek Ski Area,"0""","45""",144,144,10/11,Machine Groomed,100.0
2025-02-11,Arapahoe Basin Ski Area,"0""","48""",136,145,9/9,Variable Conditions,93.79
2025-02-11,Aspen Snowmass,"0""","51""",353,366,33/41,Packed Powder,96.45
2025-02-11,Beaver Creek,"0""","43""",168,173,18/24,Machine Groomed,97.11
2025-02-11,Breckenridge,"0""","49""",188,188,33/35,Variable Conditions,100.0
2025-02-11,Cooper,"0""","40""",64,64,5/5,Machine Groomed,100.0
2025-02-11,Copper Mountain,"0""","58""",150,150,24/24,Packed Powder,100.0
2025-02-11,Crested Butte Mountain Resort,"0""","45""",120,165,15/15,Machine Groomed,72.73
2025-02-11,Echo Mountain,"0""","30""",5,7,3/3,Variable Conditions,71.43
2025-02-11,Eldora Mountain Resort,"1""","30""",60,61,10/10,Machine Groomed,98.36
2025-02-11,Howelsen Hill,"0""","34""",17,17,3/4,Machine Groomed,100.0
2025-02-11,Keystone,"0""","42""",140,140,21/21,Powder,100.0
2025-02-11,Loveland Ski Area,"0""","44""",93,94,10/10,Powder,98.94
2025-02-11,Monarch Mountain,"2""","43""",66,67,5/7,Packed Powder,98.51
2025-02-11,Powderhorn,"0""","34""",48,54,5/5,Machine Groomed,88.89
2025-02-11,Purgatory,"0""","35""",94,107,10/11,Packed Powder,87.85
2025-02-11,Silverton Mountain,"0""","57""",69,69,1/1,Powder,100.0
2025-02-11,Ski Granby Ranch,"0""","23""",42,42,5/5,Machine Groomed,100.0
2025-02-11,Steamboat,"0""","80""",184,184,23/23,Packed Powder,100.0
2025-02-11,Sunlight Mountain Resort,"0""","28""",45,75,3/3,Variable Conditions,60.0
2025-02-11,Telluride,"0""","37""",129,147,17/17,Packed Powder,87.76
2025-02-11,Vail,"0""","53""",274,278,29/33,Machine Groomed,98.56
2025-02-11,Winter Park,"0""","65""",163,171,19/25,Packed Powder,95.32
2025-02-11,Wolf Creek Ski Area,"0""","45""",144,144,10/11,Machine Groomed,100.0
2025-02-13,Arapahoe Basin Ski Area,"0""","48""",136,145,9/9,Variable Conditions,93.79
2025-02-13,Aspen Snowmass,"1""","53""",352,366,34/41,Powder,96.17
2025-02-13,Beaver Creek,"1""","46""",168,173,18/24,Machine Groomed,97.11
2025-02-13,Breckenridge,"1""","49""",188,188,33/35,Packed Powder,100.0
2025-02-13,Cooper,"0""","40""",64,64,5/5,Machine Groomed,100.0
2025-02-13,Copper Mountain,"1""","58""",149,150,24/24,Powder,99.33
2025-02-13,Crested Butte Mountain Resort,"0""","50""",120,165,15/15,Machine Groomed,72.73
2025-02-13,Echo Mountain,"0""","30""",5,7,3/3,Variable Conditions,71.43
2025-02-13,Eldora Mountain Resort,"1""","30""",59,61,10/10,Powder,96.72
2025-02-13,Howelsen Hill,"0""","34""",17,17,3/4,Machine Groomed,100.0
2025-02-13,Keystone,"0""","42""",140,140,21/21,Powder,100.0
2025-02-13,Loveland Ski Area,"0""","44""",93,94,10/10,Powder,98.94
2025-02-13,Monarch Mountain,"0""","46""",67,67,5/7,Powder,100.0
2025-02-13,Powderhorn,"7""","40""",48,54,5/5,Packed Powder,88.89
2025-02-13,Purgatory,"0""","35""",94,107,10/11,Packed Powder,87.85
2025-02-13,Silverton Mountain,"5""","57""",69,69,1/1,Powder,100.0
2025-02-13,Ski Granby Ranch,"0""","25""",42,42,5/5,Machine Groomed,100.0
2025-02-13,Steamboat,"2""","84""",184,184,23/23,Powder,100.0
2025-02-13,Sunlight Mountain Resort,"0""","28""",45,75,3/3,Variable Conditions,60.0
2025-02-13,Telluride,"0""","39""",129,147,17/17,Packed Powder,87.76
2025-02-13,Vail,"1""","56""",274,278,30/33,Machine Groomed,98.56
2025-02-13,Winter Park,"3""","62""",163,171,19/25,Powder,95.32
2025-02-13,Wolf Creek Ski Area,"0""","46""",144,144,10/11,Machine Groomed,100.0
2025-02-13,Arapahoe Basin Ski Area,"0""","48""",136,145,9/9,Variable Conditions,93.79
2025-02-13,Aspen Snowmass,"1""","53""",352,366,34/41,Powder,96.17
2025-02-13,Beaver Creek,"1""","46""",168,173,18/24,Machine Groomed,97.11
2025-02-13,Breckenridge,"1""","49""",188,188,33/35,Packed Powder,100.0
2025-02-13,Cooper,"0""","40""",64,64,5/5,Machine Groomed,100.0
2025-02-13,Copper Mountain,"1""","58""",149,150,24/24,Powder,99.33
2025-02-13,Crested Butte Mountain Resort,"0""","50""",120,165,15/15,Machine Groomed,72.73
2025-02-13,Echo Mountain,"0""","30""",5,7,3/3,Variable Conditions,71.43
2025-02-13,Eldora Mountain Resort,"1""","30""",59,61,10/10,Powder,96.72
2025-02-13,Howelsen Hill,"0""","34""",17,17,3/4,Machine Groomed,100.0
2025-02-13,Keystone,"0""","42""",140,140,21/21,Powder,100.0
2025-02-13,Loveland Ski Area,"0""","44""",93,94,10/10,Powder,98.94
2025-02-13,Monarch Mountain,"0""","46""",67,67,5/7,Powder,100.0
2025-02-13,Powderhorn,"7""","40""",48,54,5/5,Packed Powder,88.89
2025-02-13,Purgatory,"0""","35""",94,107,10/11,Packed Powder,87.85
2025-02-13,Silverton Mountain,"5""","57""",69,69,1/1,Powder,100.0
2025-02-13,Ski Granby Ranch,"0""","25""",42,42,5/5,Machine Groomed,100.0
2025-02-13,Steamboat,"2""","84""",184,184,23/23,Powder,100.0
2025-02-13,Sunlight Mountain Resort,"0""","28""",45,75,3/3,Variable Conditions,60.0
2025-02-13,Telluride,"0""","39""",129,147,17/17,Packed Powder,87.76
2025-02-13,Vail,"1""","56""",274,278,30/33,Machine Groomed,98.56
2025-02-13,Winter Park,"3""","62""",163,171,19/25,Powder,95.32
2025-02-13,Wolf Creek Ski Area,"0""","46""",144,144,10/11,Machine Groomed,100.0
